src_uid,dst_uid,relation_type,relative_revenue,relative_revenue_percentage,depth,direction
a6552c54-688d-59bb-a564-5a3bd33bfa76,95d4764a-c7bd-54fe-ad10-42967b6630dc,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,9defbe18-0158-5933-976e-01a5060173a6,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,c11ffe47-263d-5b7e-b627-000fbc07b3d7,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,c5617a00-5647-51c3-b591-e2e9fff443e6,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,ce46d7a3-83f8-500a-b3ca-5b10e2929f9a,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,cfb64b9c-d551-5315-921d-75d28d52e1e2,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,dc9ffe39-4a12-54c4-afe5-e10b1bb58650,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,e4e14775-9bfc-59a3-9da3-a09d47a376b1,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,4ef4c0be-6d83-52e8-b082-c73128db781b,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,47338927-3567-5b75-bebf-b714246c51b1,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,6cfb7f40-a99c-5fc1-a899-f341d4ea37dc,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,2c0271a2-25aa-59d1-b7c7-9074f43f812e,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,59b50389-b4bb-52eb-af3a-757d80f9f061,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,9240e548-43fa-5e26-a333-88e64394fe3c,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,91b8a1f5-cf78-54b4-b4a6-3e0897d7a719,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,93a53c46-1fde-50ce-bb27-6507c710c54f,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,9b8ee564-3aaa-5714-95c1-27065d724a04,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,a5d33f4e-25cc-58e7-a9a6-1dfdd266ca3c,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,ae41c544-399d-5d39-9c22-bec6c4779996,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,c0cdcef4-f065-5c9c-81e2-a48ff31abb7a,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,c3ceb5d6-5c3f-5a2b-9701-80672cb15e4e,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,d3ea9177-32b9-5143-b4c0-3f94c6da9be1,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,d5bcf789-da0a-55bf-8c2f-421edf3b9c28,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,eb1d2f0a-853c-5f76-9d48-7733797da6ac,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,1a53e200-6891-596d-8d9f-5ebaf560837b,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,1d272dff-84dc-5bf2-9c21-e656b0979227,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,1f1f6180-f098-50f7-982a-cfcda7b60eb9,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,2d7ad443-925c-5651-b806-b809e973b9b4,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,468f88a7-be9a-500a-9c0b-a1e260bcd364,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,57d89896-0af2-5416-89ba-8103bfac55e1,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,60ee5258-7ac0-5c16-b429-37266afa5999,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,78c17a61-6559-507c-8e29-fd5f79577119,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,8723d90a-668f-5be4-8eae-98b26beed69a,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,8c6c6e46-dc43-5f45-971b-d707101448be,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,945b9a36-a46d-55ae-8c38-5829bae2af15,Supplier,,,1,suppliers
